StateName,Date,Value
MA,2018-07-31,1783.3333333333333
MD,2018-07-31,890.3333333333334
ME,2018-07-31,535.25
MI,2018-07-31,557.258064516129
MN,2018-07-31,474.0
MO,2018-07-31,532.04
MS,2018-07-31,158.375
MT,2018-07-31,265.85714285714283
NC,2018-07-31,438.1621621621622
ND,2018-07-31,217.8
NE,2018-07-31,246.0909090909091
NH,2018-07-31,372.5
NJ,2018-07-31,487.0
NM,2018-07-31,185.0625
NV,2018-07-31,728.625
NY,2018-07-31,1195.8076923076924
OH,2018-07-31,416.04347826086956
OK,2018-07-31,279.75
OR,2018-07-31,481.4736842105263
PA,2018-07-31,610.3529411764706
RI,2018-07-31,2540.0
SC,2018-07-31,608.4285714285714
SD,2018-07-31,161.57142857142858
TN,2018-07-31,416.61538461538464
TX,2018-07-31,659.0847457627119
UT,2018-07-31,576.0
VA,2018-07-31,1237.857142857143
VT,2018-07-31,194.5
WA,2018-07-31,665.578947368421
WI,2018-07-31,320.2608695652174
WV,2018-07-31,132.57142857142858
WY,2018-07-31,108.88888888888889
AK,2018-08-31,312.6666666666667
AL,2018-08-31,328.35
AR,2018-08-31,222.11764705882354
AZ,2018-08-31,1049.1818181818182
CA,2018-08-31,1199.264705882353
CO,2018-08-31,695.0625
CT,2018-08-31,1009.8
DE,2018-08-31,565.5
FL,2018-08-31,1383.142857142857
GA,2018-08-31,435.7567567567568
HI,2018-08-31,425.25
IA,2018-08-31,220.75
ID,2018-08-31,294.61538461538464
IL,2018-08-31,699.8518518518518
IN,2018-08-31,232.94285714285715
KS,2018-08-31,135.83333333333334
KY,2018-08-31,258.3157894736842
LA,2018-08-31,279.29411764705884
MA,2018-08-31,1566.6666666666667
MD,2018-08-31,807.1666666666666
ME,2018-08-31,509.5
MI,2018-08-31,547.9354838709677
MN,2018-08-31,445.6190476190476
MO,2018-08-31,503.32
MS,2018-08-31,146.875
MT,2018-08-31,251.57142857142858
NC,2018-08-31,411.8378378378378
ND,2018-08-31,199.8
NE,2018-08-31,237.1818181818182
NH,2018-08-31,340.1666666666667
NJ,2018-08-31,464.5
NM,2018-08-31,178.0
NV,2018-08-31,748.0
NY,2018-08-31,1068.6923076923076
OH,2018-08-31,401.69565217391306
OK,2018-08-31,266.9
OR,2018-08-31,454.42105263157896
PA,2018-08-31,562.2647058823529
RI,2018-08-31,2342.0
SC,2018-08-31,582.9285714285714
SD,2018-08-31,156.28571428571428
TN,2018-08-31,407.96153846153845
TX,2018-08-31,624.728813559322
UT,2018-08-31,576.5555555555555
VA,2018-08-31,1129.142857142857
VT,2018-08-31,188.25
WA,2018-08-31,616.9473684210526
WI,2018-08-31,311.0869565217391
WV,2018-08-31,129.42857142857142
WY,2018-08-31,102.33333333333333
AK,2018-09-30,259.6666666666667
